Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
285000,83000000,K. De Bruyne,26,Belgium,89,92,Manchester City,2162,76.0,68.0,80.0,75.0,87.0,84.0,90.0,83.0,85.0,83.0,83.0,15.0,13.0,5.0,10.0,13.0,53.0,56.0,65.0,84.0,86.0,30.0,77.0,84.0,88.0,90.0,85.0,40.0,75.0,87.0,51.0,73.0,90.0,82.0,86.0,57.0,70.0,85.0,84.0,192985,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,RM CM CAM,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,81.0
125000,40000000,D. Godín,31,Uruguay,88,88,Atlético Madrid,1930,62.0,86.0,63.0,58.0,76.0,82.0,55.0,49.0,53.0,42.0,51.0,6.0,8.0,15.0,5.0,15.0,92.0,88.0,89.0,70.0,43.0,87.0,50.0,48.0,85.0,79.0,67.0,89.0,67.0,67.0,86.0,80.0,52.0,47.0,63.0,86.0,80.0,62.0,69.0,182493,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,CB,63.0,79.0,86.0,69.0,80.0,62.0,63.0,64.0,61.0,76.0,64.0
225000,36000000,A. Robben,33,Netherlands,88,88,FC Bayern Munich,2081,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,10.0,8.0,11.0,5.0,15.0,51.0,39.0,61.0,71.0,88.0,29.0,80.0,85.0,87.0,84.0,87.0,26.0,86.0,68.0,26.0,67.0,83.0,86.0,86.0,47.0,59.0,86.0,78.0,9014,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,RW RM,86.0,58.0,47.0,78.0,59.0,86.0,85.0,82.0,87.0,63.0,82.0
240000,27000000,Z. Ibrahimović,35,Sweden,88,88,Manchester United,2075,63.0,84.0,81.0,41.0,88.0,91.0,76.0,82.0,82.0,87.0,82.0,13.0,15.0,10.0,9.0,12.0,80.0,20.0,69.0,76.0,85.0,15.0,91.0,86.0,86.0,84.0,91.0,27.0,67.0,71.0,41.0,88.0,83.0,90.0,83.0,52.0,60.0,83.0,78.0,41236,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,ST,83.0,54.0,52.0,78.0,60.0,83.0,80.0,84.0,82.0,58.0,84.0
175000,34000000,Thiago Silva,32,Brazil,88,88,Paris Saint-Germain,2124,70.0,77.0,74.0,68.0,80.0,83.0,60.0,61.0,68.0,38.0,67.0,9.0,12.0,5.0,9.0,10.0,82.0,89.0,93.0,81.0,71.0,90.0,71.0,59.0,84.0,79.0,74.0,88.0,74.0,74.0,89.0,81.0,74.0,63.0,72.0,85.0,83.0,69.0,77.0,164240,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,CB,72.0,81.0,85.0,77.0,83.0,69.0,70.0,67.0,68.0,79.0,67.0
265000,60000000,M. Özil,28,Germany,88,88,Arsenal,1927,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,6.0,14.0,10.0,6.0,14.0,54.0,24.0,52.0,84.0,76.0,22.0,67.0,83.0,87.0,89.0,70.0,19.0,68.0,69.0,16.0,57.0,92.0,77.0,85.0,41.0,57.0,82.0,79.0,176635,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,RW CAM,85.0,52.0,41.0,79.0,57.0,82.0,83.0,76.0,83.0,58.0,76.0
215000,48000000,M. Hummels,28,Germany,88,88,FC Bayern Munich,2038,62.0,66.0,64.0,58.0,77.0,91.0,64.0,65.0,68.0,55.0,53.0,15.0,6.0,10.0,5.0,6.0,89.0,89.0,68.0,85.0,51.0,85.0,68.0,56.0,85.0,80.0,71.0,90.0,65.0,66.0,92.0,85.0,79.0,60.0,71.0,85.0,83.0,69.0,77.0,178603,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,CB,71.0,80.0,85.0,77.0,83.0,69.0,70.0,69.0,68.0,78.0,69.0
165000,38000000,H. Lloris,30,France,88,88,Tottenham Hotspur,1318,65.0,31.0,55.0,54.0,34.0,61.0,13.0,11.0,10.0,10.0,10.0,88.0,86.0,68.0,82.0,90.0,10.0,27.0,74.0,50.0,14.0,12.0,40.0,10.0,85.0,50.0,23.0,18.0,63.0,41.0,10.0,43.0,30.0,11.0,,,,,,167948,,,,,,,,,,,GK,,,,,,,,,,,
215000,48000000,J. Boateng,28,Germany,88,88,FC Bayern Munich,1989,72.0,82.0,58.0,53.0,71.0,86.0,69.0,56.0,67.0,34.0,31.0,7.0,12.0,15.0,6.0,5.0,85.0,83.0,75.0,80.0,58.0,88.0,46.0,47.0,82.0,75.0,79.0,90.0,78.0,74.0,91.0,91.0,76.0,53.0,67.0,85.0,82.0,66.0,73.0,183907,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,CB,67.0,81.0,85.0,73.0,82.0,66.0,69.0,65.0,65.0,79.0,65.0
215000,79000000,P. Dybala,23,Argentina,88,93,Juventus,2063,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,5.0,4.0,4.0,5.0,8.0,68.0,24.0,75.0,71.0,88.0,14.0,86.0,84.0,84.0,83.0,82.0,20.0,84.0,83.0,20.0,65.0,84.0,88.0,86.0,43.0,55.0,86.0,78.0,211110,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,ST CAM,86.0,55.0,43.0,78.0,55.0,86.0,86.0,83.0,87.0,60.0,83.0
225000,70500000,Thiago,26,Spain,88,90,FC Bayern Munich,2185,77.0,57.0,90.0,86.0,92.0,83.0,72.0,85.0,90.0,69.0,77.0,6.0,11.0,7.0,9.0,13.0,58.0,78.0,75.0,90.0,82.0,49.0,75.0,83.0,84.0,91.0,75.0,62.0,68.0,75.0,64.0,59.0,86.0,90.0,86.0,66.0,76.0,83.0,85.0,189509,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,CDM CAM CM,86.0,72.0,66.0,85.0,76.0,83.0,83.0,77.0,83.0,75.0,77.0
150000,75000000,A. Griezmann,26,France,88,91,Atlético Madrid,2104,87.0,69.0,90.0,80.0,86.0,86.0,82.0,84.0,87.0,88.0,75.0,14.0,8.0,14.0,13.0,14.0,80.0,35.0,87.0,75.0,82.0,23.0,71.0,91.0,90.0,79.0,81.0,11.0,86.0,76.0,22.0,61.0,76.0,87.0,84.0,48.0,57.0,85.0,76.0,194765,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,LW RW ST,84.0,56.0,48.0,76.0,57.0,85.0,84.0,85.0,86.0,60.0,85.0
82000,57000000,J. Oblak,24,Slovenia,88,93,Atlético Madrid,1290,43.0,34.0,67.0,49.0,16.0,55.0,13.0,13.0,12.0,11.0,14.0,84.0,90.0,77.0,87.0,84.0,15.0,19.0,76.0,26.0,12.0,14.0,11.0,11.0,84.0,29.0,22.0,18.0,60.0,41.0,12.0,78.0,55.0,13.0,,,,,,200389,,,,,,,,,,,GK,,,,,,,,,,,
210000,44000000,L. Bonucci,30,Italy,88,88,Milan,1995,62.0,82.0,60.0,52.0,75.0,84.0,44.0,56.0,69.0,39.0,61.0,2.0,2.0,3.0,2.0,4.0,88.0,90.0,85.0,85.0,65.0,84.0,70.0,38.0,86.0,79.0,74.0,88.0,72.0,73.0,88.0,85.0,74.0,58.0,68.0,86.0,83.0,66.0,75.0,184344,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,CB,68.0,79.0,86.0,75.0,83.0,66.0,66.0,65.0,63.0,76.0,65.0
250000,38000000,Marcelo,29,Brazil,87,87,Real Madrid CF,2209,77.0,84.0,77.0,82.0,88.0,85.0,90.0,80.0,84.0,67.0,67.0,12.0,5.0,5.0,5.0,9.0,71.0,83.0,77.0,76.0,66.0,80.0,59.0,75.0,87.0,82.0,83.0,87.0,79.0,81.0,85.0,77.0,75.0,54.0,79.0,82.0,82.0,79.0,80.0,176676,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,LB,79.0,84.0,82.0,80.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
260000,29500000,Iniesta,33,Spain,87,87,FC Barcelona,2073,72.0,58.0,79.0,84.0,94.0,89.0,77.0,80.0,90.0,70.0,70.0,6.0,13.0,6.0,13.0,7.0,54.0,66.0,52.0,86.0,71.0,57.0,71.0,84.0,88.0,92.0,65.0,56.0,71.0,58.0,57.0,58.0,94.0,74.0,87.0,63.0,74.0,83.0,84.0,41,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,LM CM,87.0,69.0,63.0,84.0,74.0,83.0,84.0,76.0,84.0,72.0,76.0
240000,37500000,Piqué,30,Spain,87,87,FC Barcelona,1974,55.0,72.0,58.0,42.0,78.0,86.0,57.0,58.0,59.0,64.0,43.0,10.0,11.0,14.0,15.0,8.0,83.0,88.0,74.0,80.0,51.0,86.0,69.0,58.0,84.0,81.0,62.0,86.0,73.0,66.0,87.0,83.0,62.0,57.0,68.0,84.0,81.0,68.0,74.0,152729,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,CB,68.0,78.0,84.0,74.0,81.0,68.0,68.0,69.0,66.0,76.0,69.0
91000,29000000,S. Handanovič,32,Slovenia,87,87,Inter,1264,54.0,25.0,42.0,36.0,24.0,62.0,12.0,12.0,18.0,10.0,14.0,87.0,86.0,69.0,87.0,87.0,10.0,22.0,78.0,34.0,19.0,17.0,23.0,12.0,83.0,36.0,22.0,13.0,57.0,41.0,10.0,71.0,41.0,12.0,,,,,,162835,,,,,,,,,,,GK,,,,,,,,,,,
275000,48500000,I. Rakitić,29,Croatia,87,87,FC Barcelona,2129,67.0,67.0,72.0,66.0,87.0,81.0,81.0,88.0,84.0,83.0,84.0,14.0,11.0,12.0,5.0,9.0,58.0,69.0,44.0,92.0,88.0,52.0,78.0,80.0,79.0,87.0,84.0,53.0,64.0,76.0,65.0,63.0,87.0,80.0,83.0,64.0,74.0,82.0,84.0,168651,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,CM,83.0,69.0,64.0,84.0,74.0,82.0,82.0,78.0,81.0,72.0,78.0
130000,48500000,M. Hamšík,29,Slovakia,87,87,Napoli,2184,72.0,56.0,76.0,66.0,87.0,84.0,78.0,80.0,86.0,78.0,72.0,8.0,6.0,4.0,14.0,14.0,74.0,72.0,71.0,82.0,83.0,60.0,70.0,88.0,88.0,88.0,82.0,62.0,75.0,85.0,73.0,69.0,86.0,79.0,85.0,71.0,77.0,84.0,85.0,171877,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,CM,85.0,75.0,71.0,85.0,77.0,84.0,83.0,81.0,83.0,77.0,81.0
220000,44000000,David Silva,31,Spain,87,87,Manchester City,1977,72.0,51.0,92.0,89.0,90.0,92.0,83.0,82.0,84.0,71.0,75.0,1.0,1.0,1.0,1.0,1.0,54.0,43.0,66.0,79.0,73.0,25.0,73.0,81.0,84.0,91.0,71.0,29.0,65.0,78.0,44.0,56.0,92.0,79.0,84.0,50.0,64.0,81.0,81.0,168542,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,LM CM CAM,84.0,59.0,50.0,81.0,64.0,81.0,82.0,75.0,82.0,65.0,75.0
160000,48500000,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain,2097,75.0,84.0,81.0,59.0,80.0,83.0,70.0,75.0,80.0,83.0,74.0,12.0,5.0,13.0,13.0,10.0,88.0,48.0,88.0,50.0,78.0,24.0,84.0,92.0,91.0,78.0,85.0,27.0,78.0,92.0,45.0,74.0,77.0,84.0,80.0,58.0,62.0,82.0,74.0,179813,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,ST,80.0,61.0,58.0,74.0,62.0,82.0,79.0,84.0,80.0,64.0,84.0
165000,65000000,C. Eriksen,25,Denmark,87,91,Tottenham Hotspur,2064,77.0,44.0,78.0,82.0,87.0,87.0,86.0,85.0,84.0,76.0,87.0,9.0,14.0,7.0,7.0,6.0,52.0,55.0,57.0,86.0,84.0,38.0,67.0,81.0,83.0,89.0,80.0,22.0,74.0,90.0,56.0,57.0,90.0,74.0,85.0,53.0,68.0,82.0,83.0,190460,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,LM RM CAM,85.0,64.0,53.0,83.0,68.0,82.0,84.0,77.0,83.0,69.0,77.0
195000,66500000,P. Pogba,24,France,87,92,Manchester United,2238,72.0,75.0,76.0,61.0,89.0,85.0,78.0,84.0,86.0,71.0,82.0,5.0,6.0,2.0,4.0,3.0,73.0,68.0,85.0,88.0,82.0,66.0,76.0,83.0,84.0,86.0,90.0,66.0,76.0,91.0,68.0,91.0,86.0,85.0,84.0,74.0,79.0,83.0,84.0,195864,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,CDM CM,84.0,75.0,74.0,84.0,79.0,83.0,83.0,81.0,82.0,77.0,81.0
130000,64500000,M. Verratti,24,Italy,87,91,Paris Saint-Germain,2154,69.0,89.0,87.0,94.0,88.0,91.0,72.0,73.0,90.0,58.0,64.0,12.0,12.0,15.0,15.0,10.0,55.0,86.0,64.0,89.0,58.0,76.0,64.0,71.0,87.0,90.0,56.0,79.0,62.0,77.0,84.0,56.0,88.0,64.0,82.0,77.0,84.0,77.0,85.0,199556,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,CDM CM,82.0,79.0,77.0,85.0,84.0,77.0,80.0,69.0,78.0,80.0,69.0
190000,52500000,N. Kanté,26,France,87,90,Chelsea,2154,82.0,90.0,83.0,90.0,79.0,84.0,67.0,49.0,77.0,65.0,49.0,15.0,12.0,10.0,7.0,10.0,54.0,91.0,79.0,79.0,66.0,75.0,54.0,71.0,87.0,84.0,72.0,85.0,80.0,94.0,89.0,77.0,76.0,56.0,78.0,81.0,84.0,76.0,81.0,215914,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,CM CDM,78.0,82.0,81.0,81.0,84.0,76.0,78.0,72.0,76.0,83.0,72.0
160000,37500000,A. Vidal,30,Chile,87,87,FC Bayern Munich,2278,76.0,93.0,75.0,77.0,83.0,86.0,76.0,76.0,76.0,77.0,68.0,4.0,2.0,4.0,2.0,4.0,81.0,85.0,82.0,82.0,85.0,76.0,81.0,80.0,89.0,84.0,86.0,85.0,74.0,91.0,89.0,77.0,80.0,78.0,81.0,84.0,85.0,81.0,83.0,181872,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,CM CDM,81.0,83.0,84.0,83.0,85.0,81.0,80.0,81.0,80.0,83.0,81.0
295000,44500000,K. Benzema,29,France,86,86,Real Madrid CF,1950,77.0,65.0,77.0,60.0,86.0,82.0,75.0,79.0,82.0,87.0,73.0,13.0,11.0,5.0,5.0,7.0,78.0,22.0,70.0,47.0,77.0,13.0,82.0,87.0,83.0,86.0,83.0,12.0,78.0,73.0,15.0,78.0,85.0,79.0,82.0,44.0,52.0,84.0,72.0,165153,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,ST,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,83.0
165000,36000000,Javi Martínez,28,Spain,86,86,FC Bayern Munich,1973,49.0,91.0,54.0,58.0,71.0,83.0,60.0,54.0,62.0,53.0,45.0,5.0,12.0,9.0,11.0,8.0,90.0,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0,67.0,84.0,80.0,66.0,72.0,177610,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,CDM CB,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,67.0
135000,43000000,D. Mertens,30,Belgium,86,86,Napoli,2035,93.0,59.0,94.0,92.0,88.0,81.0,77.0,81.0,89.0,85.0,77.0,7.0,10.0,8.0,10.0,4.0,35.0,36.0,60.0,74.0,81.0,30.0,78.0,85.0,85.0,81.0,80.0,40.0,87.0,75.0,40.0,42.0,82.0,70.0,85.0,47.0,60.0,85.0,78.0,175943,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,ST LW CF,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,78.0
110000,34500000,Sokratis,29,Greece,86,86,Borussia Dortmund,1885,71.0,91.0,62.0,68.0,58.0,82.0,47.0,36.0,58.0,44.0,35.0,6.0,8.0,5.0,12.0,5.0,87.0,80.0,87.0,64.0,48.0,88.0,33.0,50.0,81.0,64.0,79.0,86.0,84.0,74.0,90.0,86.0,52.0,46.0,59.0,84.0,76.0,61.0,63.0,172879,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,CB,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,64.0
